country,city,followers_count,has_mobile,last_seen_platform,political,langs,religion_id,alcohol,smoking,relation,sex,university,age
1.0,2.0,360,1,1.0,,0,0,,,2,2,65,83.99452429842573
1.0,2.0,415,1,2.0,,1,0,,,4,2,53,32.1368925393566
1.0,1.0,373,1,7.0,,1,0,,,0,1,53,31.87132101300479
1.0,2.0,1705,0,7.0,4.0,1,200,4.0,2.0,1,2,15,33.91649555099247
1.0,2.0,1476,1,1.0,3.0,1,0,,,4,1,1,34.10266940451746
1.0,2.0,1545,1,2.0,5.0,1,0,,,4,2,56,36.19438740588638
1.0,2.0,211,1,4.0,,1,0,,,4,2,53,32.18891170431211
1.0,2.0,28310,1,2.0,3.0,2,0,0.0,0.0,4,1,1,31.00889801505818
1.0,2.0,6982,1,7.0,,2,0,,,0,1,1,30.058863791923343
1.0,2.0,127,1,2.0,8.0,1,0,0.0,0.0,4,2,55,55.68514715947981
1.0,1.0,1448,1,7.0,,0,0,0.0,0.0,0,2,1,30.866529774127308
1.0,2.0,378,1,1.0,8.0,0,0,0.0,0.0,4,2,1,34.78986995208761
1.0,2.0,444,1,7.0,,1,0,,,0,2,1,43.04722792607804
9.0,208.0,223,1,7.0,,0,1,,,0,1,1,32.39698836413415
1.0,2.0,1209,1,4.0,,1,0,,,7,1,40,31.42231348391513
1.0,2.0,799,1,4.0,6.0,1,0,0.0,2.0,1,2,48,33.08418891170431
1.0,2.0,2755,1,7.0,,2,0,0.0,0.0,4,1,56,31.233401779603014
1.0,177.0,4673,1,4.0,,1,102,,,0,1,1173072,35.53182751540041
1.0,169.0,1026,1,1.0,,1,0,,,1,1,947,35.00889801505818
1.0,,99,1,4.0,,0,0,0.0,0.0,0,2,1,41.659137577002056
,,2362,1,2.0,,2,0,0.0,0.0,4,1,0,32.974674880219034
1.0,2.0,2168,1,7.0,,1,0,,,4,1,1,33.286789869952095
1.0,2.0,1596,1,2.0,8.0,1,0,,,4,1,1,30.90212183436003
1.0,72.0,6968,1,7.0,4.0,1,200,4.0,3.0,0,1,0,27.93702943189596
1.0,2.0,1229,1,1.0,,1,1,,,0,2,1,33.902806297056806
1.0,2.0,2161,1,2.0,3.0,0,0,,,0,1,1,36.17522245037645
1.0,2.0,1362,1,7.0,,1,0,0.0,2.0,0,1,1,34.19849418206708
1.0,2.0,1275,1,4.0,,1,0,0.0,0.0,4,1,1173072,32.98562628336756
1.0,2.0,1189,1,7.0,6.0,3,0,0.0,0.0,0,2,68,37.492128678986994
207.0,,1231,1,7.0,,0,0,0.0,0.0,4,2,0,23.56741957563313
,,399,1,2.0,,0,0,0.0,0.0,0,2,1173072,34.32991101984942
1.0,2.0,778,1,7.0,9.0,2,102,4.0,1.0,1,2,0,28.61601642710472
,,3472,1,7.0,,1,0,,,4,1,1,31.4031485284052
65.0,458.0,582,1,2.0,8.0,0,0,,,4,2,1,31.657768651608485
1.0,2.0,1395,1,7.0,,0,0,,,0,2,34,36.29295003422313
1.0,2.0,1014,1,7.0,,2,0,0.0,0.0,0,2,1,32.0766598220397
1.0,1.0,1267,1,7.0,,1,0,0.0,0.0,4,2,2,37.141683778234096
1.0,1.0,2078,1,7.0,8.0,1,0,4.0,2.0,4,2,2,36.69541409993155
1.0,2.0,2478,1,7.0,,0,0,0.0,0.0,3,1,0,31.08829568788501
1.0,2.0,863,1,1.0,,5,0,,,1,1,34,35.46338124572211
1.0,2.0,559,1,4.0,6.0,1,0,,,1,2,56,30.809034907597532
1.0,2.0,880,1,7.0,7.0,1,0,3.0,4.0,4,2,1173072,34.49965776865161
1.0,2.0,467,1,7.0,5.0,0,0,,,4,2,1173072,34.921286789869946
191.0,1803702.0,63014,1,7.0,4.0,5,0,0.0,2.0,0,2,751869,23.898699520876107
1.0,2.0,909,1,7.0,5.0,1,0,0.0,0.0,1,2,56,33.66735112936345
8.0,1.0,364,1,4.0,4.0,3,0,,,4,1,215,34.87200547570158
1.0,2.0,2440,1,4.0,4.0,1,0,5.0,1.0,7,2,111,35.97535934291581
1.0,2.0,2234,1,2.0,,2,0,0.0,0.0,4,1,68,30.896646132785765
1.0,2.0,401,1,2.0,,0,0,,,0,2,56,31.362080766598226
1.0,1.0,937,1,1.0,,3,0,0.0,4.0,0,1,338,37.4072553045859
1.0,2.0,4796,1,7.0,,2,0,3.0,2.0,0,2,1,36.002737850787135
1.0,72.0,2579,1,7.0,3.0,1,102,1.0,1.0,1,2,0,41.80698151950719
144.0,,2240,1,2.0,,0,0,0.0,0.0,0,1,31,33.14168377823409
1.0,2.0,350,1,4.0,8.0,1,102,2.0,2.0,0,2,56,33.943874058863784
1.0,1.0,2427,1,7.0,3.0,1,0,,,4,2,1,29.932922655715267
1.0,2.0,388,1,2.0,8.0,1,0,3.0,2.0,4,1,48,32.856947296372354
1.0,2.0,269,1,7.0,,1,0,,,4,2,53,32.01368925393566
1.0,2.0,9334,1,7.0,,1,0,,,4,2,56,30.532511978097194
1.0,99.0,934,1,4.0,8.0,0,0,0.0,0.0,7,2,671,32.342231348391515
1.0,49.0,6027,1,7.0,,4,201,0.0,0.0,0,2,0,41.58247775496236
1.0,2.0,10556,1,7.0,,1,0,0.0,0.0,0,1,66,32.84052019164955
1.0,1.0,3172,1,4.0,,0,102,,,4,1,1189222,31.03080082135524
1.0,1.0,733,1,7.0,,1,0,,,4,1,128,31.203285420944557
1.0,2.0,1237,1,2.0,6.0,0,0,0.0,2.0,1,2,48,31.627652292950035
1.0,2.0,699,1,4.0,8.0,3,0,1.0,1.0,4,2,56,33.83436002737851
1.0,2.0,836,1,2.0,,0,0,,,4,2,68,34.313483915126625
1.0,2.0,2320,1,4.0,,1,0,0.0,0.0,1,1,0,36.85147159479809
1.0,2.0,114,1,1.0,8.0,0,0,,,4,1,65,35.200547570157426
1.0,2.0,3523,1,2.0,9.0,3,0,0.0,0.0,4,2,67,32.16700889801505
1.0,2.0,1211,1,1.0,,0,0,0.0,0.0,0,2,56,31.79466119096509
1.0,2.0,485,1,4.0,,2,0,0.0,0.0,0,2,0,33.88364134154689
1.0,2.0,3477,1,2.0,,0,0,,,0,1,53,31.38672142368241
1.0,2.0,325,1,1.0,6.0,1,102,2.0,2.0,4,2,34,33.856262833675565
1.0,2.0,373,1,7.0,5.0,0,0,,,4,2,56,32.4435318275154
1.0,2.0,1053,1,2.0,5.0,3,0,3.0,5.0,4,1,1,30.57631759069131
1.0,1582.0,294,1,4.0,3.0,1,102,2.0,1.0,4,2,56,33.59342915811088
1.0,2.0,730,1,2.0,,0,0,,,4,1,57,32.93908281998631
1.0,2.0,227,1,4.0,8.0,1,0,0.0,0.0,0,1,54,39.967145790554405
,,285,1,7.0,,0,0,,,0,1,56,33.12251882272416
1.0,2.0,196,1,4.0,8.0,0,0,,,0,2,56,31.800136892539356
1.0,2.0,474,1,4.0,,0,0,0.0,0.0,0,1,68,31.35934291581109
1.0,2.0,950,1,7.0,,0,102,,,1,2,53,31.54277891854894
1.0,2.0,843,1,7.0,,1,0,0.0,0.0,1,2,68,33.87268993839836
1.0,2.0,376,1,4.0,,0,0,,,1,1,1,33.38261464750171
1.0,1.0,1957,1,7.0,,3,0,0.0,0.0,0,2,326,21.53867214236824
49.0,295.0,1133,1,1.0,,1,0,,,4,1,6,31.38672142368241
1.0,2.0,3347,1,2.0,,1,0,,,0,1,56,32.95277207392196
1.0,2.0,2366,1,4.0,,0,0,,,4,1,66,30.66666666666667
1.0,,1000,1,7.0,2.0,2,0,1.0,1.0,2,2,0,30.726899383983568
1.0,2.0,1579,1,7.0,,2,0,0.0,0.0,4,1,56,32.459958932238195
1.0,2.0,407,1,7.0,,0,0,,,4,2,56,34.340862422997944
9.0,378.0,1208,1,4.0,9.0,2,200,2.0,2.0,1,2,1,31.15674195756331
1.0,2.0,1957,1,4.0,,3,102,4.0,4.0,1,1,60,32.06023271731691
1.0,134.0,5623,1,4.0,3.0,1,0,0.0,2.0,1,2,1,40.511978097193705
1.0,1.0,367,1,4.0,,0,0,,,4,2,219,47.61122518822725
1.0,2.0,1990,1,4.0,,2,0,0.0,0.0,4,1,56,33.568788501026695
,,287,1,7.0,,0,0,,,0,2,2,31.53456536618755
1.0,2.0,2795,1,2.0,,0,0,0.0,0.0,0,1,0,30.46954140999316
1.0,2.0,1363,1,7.0,,2,0,0.0,0.0,0,2,1,35.30458590006845
1.0,2.0,1500,1,4.0,4.0,1,0,0.0,0.0,0,1,1173072,33.30595482546201
1.0,2.0,1758,1,4.0,,2,0,0.0,0.0,0,2,671,36.27378507871321
1.0,2.0,63,1,7.0,8.0,0,0,,,6,2,53,31.81656399726215
1.0,2.0,804,1,4.0,,1,0,,,0,2,56,30.614647501711158
1.0,99.0,51,1,2.0,8.0,1,0,4.0,5.0,4,2,0,32.216290212183445
1.0,2.0,366,1,7.0,8.0,0,0,,,4,2,1,37.37440109514032
1.0,2.0,2097,1,2.0,4.0,1,0,1.0,1.0,4,1,1173072,35.4715947980835
1.0,2.0,1115,1,2.0,8.0,2,0,1.0,1.0,0,2,56,30.5927446954141
1.0,1.0,429,1,7.0,8.0,0,0,,,0,2,1,35.80835044490075
1.0,1.0,2469,1,2.0,,4,0,0.0,0.0,0,1,328,30.636550308008214
1.0,2.0,578,1,7.0,,0,0,0.0,0.0,0,2,53,35.096509240246405
1.0,2.0,65,1,2.0,8.0,2,0,0.0,0.0,1,2,56,34.60095824777549
1.0,,1414,1,4.0,,1,0,0.0,0.0,4,2,393285,34.67214236824093
1.0,2.0,11834,1,2.0,,4,0,0.0,0.0,0,2,0,33.984941820670784
1.0,2.0,1030,1,4.0,,0,0,,,0,1,1,33.2621492128679
1.0,2.0,13777,1,7.0,,2,0,4.0,2.0,4,1,63,28.591375770020534
1.0,1.0,415,1,3.0,3.0,3,0,4.0,2.0,4,2,2,35.181382614647504
1.0,2.0,432,1,4.0,,2,0,0.0,0.0,0,2,1,31.123887748117728
1.0,354.0,128,1,1.0,1.0,0,0,3.0,3.0,0,2,328,38.540725530458595
1.0,1.0,312,1,4.0,,1,0,0.0,0.0,0,1,328,30.652977412731005
1.0,1.0,422,1,4.0,,1,0,,,0,1,249,34.151950718685825
1.0,2.0,1191,1,4.0,,0,0,,,0,2,1,35.58110882956879
49.0,295.0,6737,1,2.0,,0,0,0.0,0.0,0,1,0,31.255304585900067
1.0,2.0,6022,1,1.0,,0,0,0.0,0.0,0,2,68,30.70773442847365
9.0,17177.0,443,1,4.0,8.0,2,200,5.0,5.0,0,2,2,34.28336755646817
1.0,2.0,34,1,4.0,3.0,1,200,,,4,2,1173072,31.540041067761802
1.0,2.0,3760,1,2.0,8.0,1,0,,,4,2,1,31.43600273785079
1.0,2.0,811,1,4.0,6.0,1,102,3.0,2.0,4,2,56,33.65639972621492
1.0,2.0,207,1,4.0,4.0,1,0,,2.0,4,2,53,32.44626967830253
1.0,2.0,865,1,7.0,8.0,1,0,,,4,1,1173072,33.73305954825462
1.0,1.0,13,1,7.0,8.0,1,0,0.0,0.0,4,2,338,45.171800136892536
1.0,2.0,133,1,4.0,9.0,1,0,0.0,3.0,0,2,1,30.4312114989733
1.0,2.0,4962,1,7.0,,0,0,0.0,0.0,4,1,1,32.687200547570164
1.0,2.0,581,1,7.0,4.0,2,0,4.0,1.0,4,2,65,32.312114989733054
1.0,2.0,1231,1,1.0,,3,0,,,0,1,1,34.11362080766598
65.0,1970519.0,492,1,7.0,2.0,3,107,5.0,3.0,4,2,250,32.309377138945926
1.0,2.0,102,1,2.0,,0,0,,,4,2,1,34.0807665982204
1.0,1.0,171,1,2.0,,2,0,0.0,0.0,1,1,265,34.63107460643395
1.0,2.0,1943,1,4.0,,0,0,0.0,2.0,4,2,64,34.55167693360712
1.0,2.0,549,1,2.0,,1,0,,,4,1,1,33.90006844626968
1.0,2.0,767,1,7.0,8.0,1,102,,,0,2,1,34.48870636550308
1.0,158.0,27,1,1.0,,1,0,4.0,4.0,4,2,918,42.18754277891855
1.0,2.0,108,1,4.0,9.0,2,200,2.0,2.0,1,2,1,32.229979466119104
1.0,2.0,1435,1,4.0,,1,0,,,2,1,0,35.912388774811774
1.0,2.0,763,1,7.0,,0,0,0.0,0.0,0,2,0,30.510609171800137
1.0,2.0,424,0,2.0,3.0,0,0,,,4,2,1,33.661875427789184
1.0,2.0,64,1,1.0,,2,0,,,4,2,65,31.83572895277207
1.0,2.0,1936,1,7.0,8.0,1,102,,,1,2,56,33.9958932238193
1.0,2.0,421,1,1.0,3.0,0,0,,,4,2,53,33.303216974674875
1.0,99.0,1499,1,4.0,,1,0,0.0,0.0,4,1,671,32.2984257357974
24.0,1951155.0,55,1,7.0,,16,0,,,4,1,37528,99.60027378507871
1.0,2.0,5462,1,7.0,,0,0,,,1,2,1173072,36.780287474332646
1.0,2.0,486,1,4.0,,1,0,,,0,2,56,31.827515400410682
97.0,3783848.0,68,1,1.0,,0,1,,,0,2,1,35.728952772073924
1.0,2.0,1598,1,1.0,,1,0,0.0,0.0,4,1,1170190,30.50239561943874
1.0,2.0,1682,1,4.0,,0,0,,,0,1,0,34.23956194387406
,,1112,1,4.0,,0,0,,,4,1,6,32.158795345653665
1.0,2.0,227,1,7.0,4.0,0,0,,,4,2,65,32.02464065708419
1.0,2.0,1233,1,4.0,,4,0,,,0,1,1,35.104722792607795
1.0,1.0,181,1,2.0,,3,102,0.0,0.0,5,1,219,32.695414099931554
1.0,1.0,8445,1,7.0,5.0,0,0,,,4,1,2,34.332648870636554
1.0,2.0,538,1,1.0,6.0,0,0,,,0,1,1,32.65160848733744
,,1355,1,2.0,,1,0,0.0,0.0,0,1,81,31.652292950034226
1.0,1.0,1014,1,7.0,2.0,1,0,3.0,3.0,0,2,219,47.85215605749487
1.0,2.0,68,1,2.0,,0,0,,,0,2,56,33.73032169746749
1.0,1.0,165,1,7.0,4.0,0,0,,,0,1,328,34.792607802874734
9.0,1515864.0,759,1,2.0,,4,0,0.0,1.0,7,1,1,32.65160848733744
1.0,2.0,267,1,4.0,,1,0,0.0,0.0,0,1,65,31.340177960301162
1.0,2.0,1417,1,7.0,,0,0,0.0,0.0,0,1,1,32.312114989733054
1.0,2.0,164,1,4.0,1.0,1,0,2.0,3.0,4,2,56,31.674195756331283
1.0,,317,1,2.0,,1,0,,,0,1,1,34.340862422997944
50.0,1905655.0,821,1,7.0,,2,0,,,0,1,1,31.690622861054074
1.0,2.0,2246,1,2.0,4.0,1,0,0.0,0.0,0,1,1,34.93771389459275
1.0,2.0,19,1,2.0,,0,0,0.0,0.0,0,2,68,33.91649555099247
,,146,1,7.0,,1,0,,,0,2,0,36.32306639288159
1.0,1.0,214970,1,7.0,,3,0,0.0,0.0,4,2,1,32.303901437371664
1.0,2.0,5343,1,7.0,8.0,1,0,,,0,2,56,31.90965092402464
1.0,2.0,428,1,1.0,2.0,1,0,5.0,2.0,5,1,1,35.775496235455165
1.0,2.0,33,1,1.0,4.0,1,200,3.0,4.0,1,2,1,36.54757015742642
1.0,2.0,826,1,1.0,4.0,0,0,,,4,1,56,33.91649555099247
1.0,73.0,591,1,4.0,,1,0,,,0,1,4776,36.016427104722794
1.0,2.0,389,1,4.0,8.0,1,0,,,0,2,1173072,38.99520876112252
1.0,2.0,167,1,4.0,,1,0,,,0,1,1,33.88364134154689
1.0,1.0,24,1,1.0,,0,0,,,4,1,339,35.446954140999324
1.0,2.0,382,1,2.0,,0,0,,,4,2,1,31.668720054757014
1.0,2.0,500,1,7.0,3.0,3,0,3.0,2.0,0,2,1,36.049281314168375
1.0,2.0,1303,1,1.0,,0,0,0.0,0.0,0,1,1,31.43600273785079
1.0,2.0,3300,1,4.0,6.0,1,0,1.0,4.0,7,1,1173072,33.99863107460644
1.0,2.0,253,1,2.0,6.0,2,0,0.0,2.0,5,2,0,35.89596167008898
1.0,2.0,88,1,7.0,8.0,0,-1,,,0,2,61,36.030116358658454
1.0,1.0,243,1,7.0,,1,0,,,7,2,219,33.75496235455168
1.0,2.0,140,1,1.0,,0,0,,,4,2,1,31.98357289527721
1.0,2.0,337,1,7.0,,0,0,,,0,2,65,33.02669404517454
1.0,2.0,958,1,2.0,,3,0,,,0,1,1,31.61943874058864
1.0,1.0,2145,1,2.0,,5,0,,,4,1,0,31.978097193702947
1.0,1.0,3126,1,7.0,,1,0,,,0,2,1,30.66392881587953
1.0,2.0,582,1,2.0,,1,102,0.0,0.0,0,1,1,31.233401779603014
1.0,2.0,281,1,7.0,,2,1,,,4,1,56,34.98699520876112
1.0,1.0,110,1,1.0,,1,0,0.0,0.0,0,2,841,40.898015058179325
1.0,2.0,315,1,2.0,2.0,0,0,,1.0,7,2,56,32.884325804243666
1.0,1.0,132,1,4.0,,1,0,0.0,0.0,0,2,0,35.34565366187543
1.0,2.0,130,1,7.0,,0,0,,,1,2,1,31.66324435318275
,,150,1,7.0,,2,0,0.0,0.0,0,1,1,32.851471594798085
3.0,282.0,220,1,4.0,3.0,1,0,,,4,2,48431,33.88364134154689
1.0,2.0,434,1,1.0,,1,0,0.0,0.0,0,2,0,31.57015742642026
1.0,2.0,2488,1,7.0,2.0,4,102,2.0,2.0,4,2,68,34.07529089664613
1.0,2.0,5077,1,4.0,,1,0,,,0,1,34,36.34223134839152
1.0,2.0,3094,1,2.0,,1,0,0.0,0.0,0,1,18273,29.629021218343603
1.0,2.0,2783,1,7.0,6.0,1,0,0.0,2.0,4,2,65,32.01916495550992
1.0,2.0,337,1,2.0,,2,0,0.0,0.0,4,1,66,30.792607802874745
1.0,2.0,426,1,4.0,,1,0,,,4,2,55,32.361396303901444
1.0,2.0,838,1,4.0,,0,0,,,0,1,63,33.06776180698152
1.0,2.0,1043,1,4.0,5.0,1,102,,,0,2,1,32.12867898699521
1.0,1.0,167,1,4.0,,1,0,0.0,0.0,4,2,53,32.309377138945926
1.0,1.0,3987,1,4.0,,2,0,4.0,3.0,1,2,219,30.8911704312115
1.0,1.0,383,1,4.0,,1,0,3.0,2.0,4,2,219,32.19438740588638
1.0,2.0,3587,1,4.0,6.0,0,102,4.0,2.0,4,1,1,43.92060232717318
1.0,1.0,125,1,2.0,,0,0,,,0,2,253,35.14031485284052
1.0,2.0,1850,1,1.0,,1,0,,,0,1,0,40.06570841889117
1.0,2.0,269,1,4.0,,0,0,,,0,2,1,32.068446269678304
1.0,2.0,266,1,2.0,,0,0,0.0,0.0,0,2,1,35.419575633128
1.0,95.0,4670,1,7.0,,1,0,2.0,2.0,1,1,653,33.67282683093772
1.0,2.0,152,1,7.0,,2,0,4.0,2.0,1,2,69,33.83983572895277
1.0,2.0,3021,1,4.0,6.0,1,0,0.0,3.0,2,1,6,29.40451745379877
1.0,2.0,297,1,7.0,,1,0,,,4,2,48,32.78302532511978
1.0,2.0,956,1,2.0,4.0,1,0,0.0,0.0,1,1,1,32.13141683778234
1.0,33.0,283,1,7.0,,1,0,,,1,2,404,37.70294318959617
1.0,2.0,47,1,2.0,4.0,1,0,,,4,2,45988,37.37440109514032
2.0,7739.0,96,1,4.0,8.0,0,0,4.0,2.0,6,2,1071,39.05817932922656
217.0,703.0,419,1,7.0,4.0,2,0,4.0,2.0,0,2,1,38.650239561943884
1.0,2.0,149,1,4.0,,4,0,,,1,2,42,33.36071184120465
1.0,2.0,111,1,4.0,3.0,1,0,,,4,2,49,40.596851471594796
1.0,2.0,146,1,1.0,4.0,0,0,,,4,2,56,33.908281998631075
1.0,2.0,360,1,1.0,,0,0,,,0,1,1,32.832306639288156
1.0,2.0,128,1,4.0,,3,0,,,0,2,1,32.84325804243669
1.0,1003234.0,683,1,7.0,,3,0,0.0,0.0,0,1,39,33.648186173853524
1.0,2.0,424,1,2.0,5.0,1,0,2.0,1.0,0,2,1173072,32.51745379876797
1.0,2.0,2269,1,2.0,3.0,1,102,,,4,1,66,30.732375085557837
1.0,2.0,188,1,4.0,9.0,0,200,4.0,1.0,0,2,56,31.808350444900757
1.0,2.0,11463,1,4.0,,1,0,0.0,0.0,4,1,1173072,31.928815879534568
1.0,2.0,147,1,4.0,,1,0,0.0,0.0,4,2,1173072,33.58521560574949
1.0,2.0,1049,1,4.0,,1,0,,,2,2,34,31.950718685831625
1.0,2.0,1410,1,2.0,4.0,0,102,,,0,1,63,33.00752908966461
1.0,2.0,386,1,1.0,7.0,1,102,1.0,1.0,6,2,401256,52.503764544832315
1.0,99.0,8,1,7.0,8.0,0,-1,,,0,2,671,43.370294318959616
1.0,2.0,2382,1,2.0,6.0,0,102,3.0,3.0,0,2,55,33.086926762491444
1.0,2.0,610,1,7.0,,1,0,,,1,2,0,35.485284052019175
1.0,2.0,2930,1,1.0,,1,0,0.0,0.0,1,1,1,37.78507871321013
1.0,1.0,114,1,1.0,8.0,1,0,0.0,0.0,1,2,4776,37.77960301163585
1.0,2.0,160,1,7.0,,0,0,,,4,2,1,60.70362765229296
1.0,2.0,68,1,7.0,,1,0,,,4,2,0,31.690622861054074
1.0,2.0,292,1,1.0,,0,0,,,0,1,1,31.49075975359343
9.0,1711047.0,176,1,2.0,,1,0,2.0,1.0,4,2,1,33.35797399041752
1.0,8068.0,411,1,7.0,,1,0,,,0,1,0,34.32991101984942
1.0,2.0,3664,1,2.0,4.0,3,102,,,0,2,1,33.53867214236824
1.0,1.0,749,1,7.0,,1,0,0.0,0.0,0,1,269,34.21218343600274
1.0,2.0,36,1,4.0,8.0,1,0,4.0,4.0,1,2,1,31.364818617385353
1.0,2.0,205,1,2.0,,0,0,0.0,2.0,1,2,56,34.08350444900753
1.0,1.0,1422,1,4.0,,3,0,0.0,0.0,1,1,293,32.344969199178635
1.0,2.0,677,1,7.0,,0,0,,,4,1,1,30.746064339493493
1.0,1.0,29737,1,2.0,6.0,1,0,2.0,1.0,0,1,328,28.70636550308008
1.0,1.0,150,1,4.0,4.0,1,0,,,4,1,128,32.153319644079396
1.0,1.0,172,1,7.0,,0,201,0.0,0.0,1,2,53,32.06023271731691
1.0,53.0,14484,1,7.0,3.0,1,0,4.0,2.0,1,2,90347,34.902121834360024
1.0,1.0,1101,1,4.0,8.0,1,0,,,0,1,2,32.25462012320329
1.0,1.0,713,1,4.0,3.0,0,0,0.0,0.0,4,2,722,33.80150581793292
1.0,42.0,2574,1,2.0,,1,0,0.0,0.0,4,1,452,31.572895277207394
1.0,2.0,929,1,1.0,8.0,1,102,,,4,2,56,32.577686516084874
1.0,2.0,352,1,4.0,,0,0,,,0,2,1,36.889801505817935
1.0,,125882,0,1.0,,1,0,0.0,0.0,6,1,729,25.883641341546888
